Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Sacred Flame,enchantment,"Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or
take 1d8 Radiant damage. The target gains no benet from Half Cover or Three-Quarters Cover for this save.
Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).
",No,Cantrip,Action,,"V, S",,Instantaneous,313,Damage,Dexterity Save,_,Radiant,S,No,Yes,No,No,No,No,No,No
Sanctuary,illusion,"You ward a creature within range. Until the spell ends, any creature who targets the warded creature with an attack roll or a damaging spell must succeed on a Wisdom saving throw or either choose a new target or lose the attack or spell. This spell
doesn’t protect the warded creature from areas of effect.
The spell ends if the warded creature makes an attack roll, casts a spell, or deals damage.
",No,Level 1,Bonus Action,,"V, S, M",(a shard of glass from a mirror),1 Minute,313,Protection ,Wisdom Save,_,_,S,No,Yes,No,No,No,No,No,No
Scorching Ray,necromancy,"You hurl three ery rays. You can hurl them at one target within range or at several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 Fire damage.
Using a Higher-Level Spell Slot. You create one additional ray for each spell slot level above 2",No,Level 2,Action,,"V, S",,Instantaneous,313,Damage,Attack Roll,_,Fire,S,No,No,No,No,No,Yes,No,Yes
Scrying,necromancy,"You can see and hear a creature you choose that is on the same plane of existence as you. The target makes a Wisdom saving throw, which is modied (see the tables below) by how well you know the target and the sort of physical connection you have to it.
The target doesn’t know what it is making the save against, only that it feels uneasy.
Your Knowledge of the Target Is... / Save Modier
Secondhand (heard of the target) / +5
Firsthand (met the target) / +0
Extensive (know the target well) / -5

You Have the Target’s.../ Save Modier
Picture or other likeness / -2
Garment or other possession / -4
Body part, lock of hair, or bit of nail / -10

On a successful save, the target isn’t affected, and you can’t use this spell on it again for 24 hours.
On a failed save, the spell creates an Invisible, intangible sensor within 10 feet of the target. You can see and hear through the
sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. If something can see the sensor, it appears as a luminous orb about the size of your fist.
Instead of targeting a creature, you can target a location you have seen. When you do so, the sensor appears at that location and doesn’t move.
",No,Level 5,10 Minutes,,"V, S, M*","(a focus worth 1,000+ GP, such as a crystal ball, mirror, or water-filled font)","Concentration, up to 10 Minutes",313,Utility,Wisdom Save,Sensory Information,_,S,Yes,Yes,Yes,No,No,No,Yes,Yes
Searing Smite,evocation,"As you hit the target, it takes an extra 1d6 Fire damage from the attack. At the start of each of its turns until the spell ends, the target takes 1d6 Fire damage and then makes a Constitution saving throw. On a failed save, the spell continues. On a successful save, the spell ends.
Using a Higher-Level Spell Slot. All the damage increases by 1d6 for each spell slot level above 1.
",No,Level 1,Bonus Action,which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike,V,,"Concentration, up to 1 Minute",314,Damage,Constitution Save ,_,Fire,S,No,No,No,Yes,No,No,No,No
See Invisibilty,transmutation,"For the duration, you see creatures and objects that have the Invisible condition as if they were visible, and you can see into the Ethereal Plane. Creatures and objects there appear ghostly",No,Level 2,Action,,"V, S, M",(a pinch of talc),1 Hour,314,Utility,_,Sensory Information,_,S,Yes,No,No,No,No,Yes,No,Yes
Seeming,divination,"You give an illusory appearance to each creature of your choice that you can see within range. An unwilling target can make a
Charisma saving throw, and if it succeeds, it is unaffected by this spell.
You can give the same appearance or different ones to the targets. The spell can change the appearance of the targets’ bodies and equipment. You can make each creature seem 1 foot shorter or taller and appear heavier or lighter. A target’s new appearance must have the same basic arrangement of limbs as the target, but the extent of the illusion is otherwise up to you. The spell lasts for the duration.
The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to a
creature’s outt, objects pass through the hat.
A creature that takes the Study action to examine a target can make an Intelligence (Investigation) check against your spell save
DC. If it succeeds, it becomes aware that the target is disguised.
",No,Level 5,Action,,"V, S",,8 Hours,314,Illusion,_,_,_,S,Yes,No,No,No,No,Yes,No,Yes
Sending,illusion,"You send a short message of 25 words or fewer to a creature you have met or a creature described to you by someone who has met it. The target hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables targets to understand the meaning of your message.
You can send the message across any distance and even to other planes of existence, but if the target is on a different plane than you, there is a 5 percent chance that the message doesn’t arrive. You know if the delivery fails.
Upon receiving your message, a creature can block your ability to reach it again with this spell for 8 hours. If you try to send
another message during that time, you learn that you are blocked, and the spell fails.",No,Level 3,Action,,"V, S, M",(a copper wire),Instantaneous,314,Utility,_,Communication,_,S,Yes,Yes,No,No,No,No,No,Yes
Sequester,enchantment,"With a touch, you magically sequester an object or a willing creature. For the duration, the target has the Invisible condition and
can’t be targeted by Divination spells, detected by magic, or viewed remotely with magic.
If the target is a creature, it enters a state of suspended animation; it has the Unconscious condition, doesn’t age, and doesn’t need
food, water, or air.
You can set a condition for the spell to end early. The condition can be anything you choose, but it must occur or be visible within 1
mile of the target. Examples include “after 1,000 years” or “when the tarrasque awakens.” This spell also ends if the target takes
any damage.
",No,Level 7,Action,,"V, S, M**","(gem dust worth 5,000+ GP, which the spell consumes)",Until dispelled,315,Utility,_,_,_,S,No,No,No,No,No,No,No,Yes
Shapechange,conjuration,"You shape-shift into another creature for the duration or until you take a Magic action to shape-shift into a different eligible form.
The new form must be of a creature that has a Challenge Rating no higher than your level or Challenge Rating. You must have seen
the sort of creature before, and it can’t be a Construct or an Undead.
When you shape-shift, you gain a number of Temporary Hit Points equal to the Hit Points of the form. The spell ends early if you have no Temporary Hit Points left.
Your game statistics are replaced by the stat block of the chosen form, but you retain your creature type; alignment; personality;
Intelligence, Wisdom, and Charisma scores; Hit Points; Hit Point Dice; prociencies; and ability to communicate. If you have the
Spellcasting feature, you retain it too.
Upon shape-shifting, you determine whether your equipment drops to the ground or changes in size and shape to t the new form
while you’re in it.
",No,Level 9,Action,,"V, S, M*","(a jade circlet worth 1,500+ GP)","Concentration, up to 1 Hour",315,Utility,_,Body Transmutation,_,S,No,No,Yes,No,No,No,No,Yes
Shatter,necromancy,"A loud noise erupts from a point of your choice within range. Each creature in a 10-foot-radius Sphere centered there makes a Constitution saving throw, taking 3d8 Thunder damage on a failed save or half as much damage on a successful one. A Construct has Disadvantage on the save.
A nonmagical object that isn’t being worn or carried also takes the damage if it’s in the spell’s area.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.
",No,Level 2,Action,,"V, S, M","(a chip of mica)
",Instantaneous,316,Damage,Constitution Save ,_,Thunder,S,Yes,No,No,No,No,Yes,No,Yes
Shield,evocation,"An imperceptible barrier of magical force protects you. Until the start of your next turn, you have a +5 bonus to AC, including
against the triggering attack, and you take no damage from Magic Missile.",No,Level 1,Reaction* ,which you take when you are hit by an attack roll or targeted by the Magic Missile spell,"V, S",,1 Round,316,Protection ,_,AC Increase,_,S,No,No,No,No,No,Yes,No,Yes
Shield Of Faith,transmutation,"A shimmering eld surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.
",No,Level 1,Bonus Action,,"V, S, M",(a prayer scroll),"Concentration, up to 10 Minutes",316,Protection ,_,AC Increase,_,S,No,Yes,No,Yes,No,No,No,No
Shillelagh,transmutation,"A Club or Quarterstaff you are holding is imbued with nature’s power. For the duration, you can use your spellcasting ability instead
of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon’s damage die becomes a d8. If
the attack deals damage, it can be Force damage or the weapon’s normal damage type (your choice).
The spell ends early if you cast it again or if you let go of the weapon.
Cantrip Upgrade. The damage die changes when you reach levels 5 (d10), 11 (d12), and 17 (2d6).
",No,Cantrip,Bonus Action,,"V, S, M",(mistletoe),1 Minute,316,Damage,_,_,Force,S,No,No,Yes,No,No,No,No,No
Shining Smite,illusion,"The target hit by the strike takes an extra 2d6 Radiant damage from the attack. Until the spell ends, the target sheds Bright Light in
a 5-foot radius, attack rolls against it have Advantage, and it can’t benet from the Invisible condition.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.",No,Level 2,Bonus Action,which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike,V,,"Concentration, up to 1 Minute",316,Damage,_,_,Radiant,S,No,No,No,Yes,No,No,No,No
Shocking Grasp,transmutation,"Lightning springs from you to a creature that you try to touch. Make a melee spell attack against the target. On a hit, the target
takes 1d8 Lightning damage, and it can’t make Opportunity Attacks until the start of its next turn.
Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).
",No,Cantrip,Action,,"V, S",,Instantaneous,316,Damage,Attack Roll,_,Lightning,S,No,No,No,No,No,Yes,No,Yes
Silence,necromancy,"For the duration, no sound can be created within or pass through a 20-foot-radius Sphere centered on a point you choose within
range. Any creature or object entirely inside the Sphere has Immunity to Thunder damage, and creatures have the Deafened
condition while entirely inside it. Casting a spell that includes a Verbal component is impossible there.
",Yes,Level 2,Action,,"V, S",,"Concentration, up to 10 Minutes",316,Utility,_,_,_,S,Yes,Yes,No,No,Yes,No,No,No
Silent Image,evocation,"You create the image of an object, a creature, or some other
visible phenomenon that is no larger than a 15-foot Cube. The
image appears at a spot within range and lasts for the duration.
The image is purely visual; it isn’t accompanied by sound, smell,
or other sensory effects.
As a Magic action, you can cause the image to move to any
spot within range. As the image changes location, you can alter
its appearance so that its movements appear natural for the
image. For example, if you create an image of a creature and
move it, you can alter the image so that it appears to be
walking.
Physical interaction with the image reveals it to be an illusion, since things can pass through it. A creature that takes a Study
action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your
spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image.",No,Level 1,Action,,"V, S, M",(a bit of fleece),"Concentration, up to 10 Minutes",316,Illusion,_,_,_,S,Yes,No,No,No,No,Yes,No,Yes
Simulacrum,transmutation,"You create a simulacrum of one Beast or Humanoid that is within 10 feet of you for the entire casting of the spell. You nish the
casting by touching both the creature and a pile of ice or snow that is the same size as that creature, and the pile turns into the
simulacrum, which is a creature. It uses the game statistics of the original creature at the time of casting, except it is a Construct,
its Hit Point maximum is half as much, and it can’t cast this spell.
The simulacrum is Friendly to you and creatures you designate. It obeys your commands and acts on your turn in combat. The
simulacrum can’t gain levels, and it can’t take Short or Long Rests.
If the simulacrum takes damage, the only way to restore its Hit Points is to repair it as you take a Long Rest, during which you
expend components worth 100 GP per Hit Point restored. The simulacrum must stay within 5 feet of you for the repair.
The simulacrum lasts until it drops to 0 Hit Points, at which point it reverts to snow and melts away. If you cast this spell again, any
simulacrum you created with this spell is instantly destroyed.",No,Level 7,12 Hours,,"V, S, M**","(powdered ruby worth 1,500+ GP, which the spell consumes)",Until Dispelled,317,Minion/Summon,_,_,_,S,No,No,No,No,No,No,No,Yes
Sleep,evocation,"Each creature of your choice in a 5-foot-radius Sphere centered on a point within range must succeed on a Wisdom saving throw
or have the Incapacitated condition until the end of its next turn, at which point it must repeat the save. If the target fails the
second save, the target has the Unconscious condition for the duration. The spell ends on a target if it takes damage or someone
within 5 feet of it takes an action to shake it out of the spell’s effect.
Creatures that don’t sleep, such as elves, or that have Immunity to the Exhaustion condition automatically succeed on saves
against this spell.
",No,Level 1,Action,,"V, S, M",(a pinch of sand or rose petal),"Concentration, up to 1 Minute",317,Utility,Wisdom Save,_,_,S,Yes,No,No,No,No,Yes,No,Yes
Sleet Storm,transmutation,"Until the spell ends, sleet falls in a 40-foot-tall, 20-foot-radius Cylinder centered on a point you choose within range. The area is
Heavily Obscured, and exposed ames in the area are doused.
Ground in the Cylinder is Dicult Terrain. When a creature enters the Cylinder for the rst time on a turn or starts its turn there, it
must succeed on a Dexterity saving throw or have the Prone condition and lose Concentration.",No,Level 3,Action,,"V, S, M",(a miniature umbrella,"Concentration, up to 1 Minute",317,Utility,Dexterity Save,_,_,S,No,No,Yes,No,No,Yes,No,Yes
Slow,transmutation,"You alter time around up to six creatures of your choice in a 40-foot Cube within range. Each target must succeed on a Wisdom
saving throw or be affected by this spell for the duration.
An affected target’s Speed is halved, it takes a −2 penalty to AC and Dexterity saving throws, and it can’t take Reactions. On its
turns, it can take either an action or a Bonus Action, not both, and it can make only one attack if it takes the Attack action. If it
casts a spell with a Somatic component, there is a 25 percent chance the spell fails as a result of the target making the spell’s
gestures too slowly.
An affected target repeats the save at the end of each of its turns, ending the spell on itself on a success",No,Level 3,Action,,"V, S, M",(a drop o f molasses),"Concentration, up to 1 Minute",318,Debuff,Wisdom Save,_,_,S,Yes,No,No,No,No,Yes,No,Yes
Sorcerous Burst,abjuration,"You cast sorcerous energy at one creature or object within range. Make a ranged attack roll against the target. On a hit, the target
takes 1d8 damage of a type you choose: Acid, Cold, Fire, Lightning, Poison, Psychic, or Thunder.
If you roll an 8 on a d8 for this spell, you can roll another d8, and add it to the damage. When you cast this spell, the maximum
number of these d8s you can add to the spell’s damage equals your spellcasting ability modier.
Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).",No,Cantrip,Action,,"V, S",,Instantaneous,318,Damage,Attack Roll,_,Mixed,S,No,No,No,No,No,Yes,No,No
Spare The Dying,necromancy,"Choose a creature within range that has 0 Hit Points and isn’t dead. The creature becomes Stable.
Cantrip Upgrade. The range doubles when you reach levels 5 (30 feet), 11 (60 feet), and 17 (120 feet).
",No,Cantrip,Action,,"V, S",,Instantaneous,318,Utility,_,_,_,S,No,Yes,Yes,No,No,No,No,No
Speak With Animals,divination,"For the duration, you can comprehend and verbally communicate with Beasts, and you can use any of the Inuence action’s skill options with them.
Most Beasts have little to say about topics that don’t pertain to survival or companionship, but at minimum, a Beast can give you information about nearby locations and monsters, including whatever it has perceived within the past day",Yes,Level 1,Action,,"V, S",,10 Minutes,318,Utility,_,Communication,_,S,Yes,No,Yes,No,Yes,No,Yes,No
Speak With Dead,transmutation,"You grant the semblance of life to a corpse of your choice within range, allowing it to answer questions you pose. The corpse must
have a mouth, and this spell fails if the deceased creature was Undead when it died. The spell also fails if the corpse was the
target of this spell within the past 10 days.
Until the spell ends, you can ask the corpse up to ve questions. The corpse knows only what it knew in life, including the
languages it knew. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are antagonistic toward it or it recognizes you as an enemy. This spell doesn’t return the creature’s soul to its body, only its animating spirit. Thus, the corpse can’t learn new information, doesn’t comprehend anything that has happened since it died, and can’t speculate about future events.
",No,Level 3,Action,,"V, S, M",(burning incense),10 Minutes,318,Utility,_,Information,_,S,Yes,Yes,No,No,No,No,No,Yes
Speak With Plants,necromancy,"You imbue plants in an immobile 30-foot Emanation with limited sentience and animation, giving them the ability to communicate
with you and follow your simple commands. You can question plants about events in the spell’s area within the past day, gaining information about creatures that have passed, weather, and other circumstances.
You can also turn Dicult Terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for
the duration. Or you can turn ordinary terrain where plants are present into Dicult Terrain that lasts for the duration.
The spell doesn’t enable plants to uproot themselves and move about, but they can move their branches, tendrils, and stalks for
you.
If a Plant creature is in the area, you can communicate with it as if you shared a common language.",No,Level 3,Action,,"V, S",,10 Minutes,318,Utility,_,Information,_,S,Yes,No,Yes,No,Yes,No,No,No
Spider Climb,conjuration,"Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and along
ceilings, while leaving its hands free. The target also gains a Climb Speed equal to its Speed.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 2.
",No,Level 2,Action,,"V, S, M",(a drop of bitumen and a spider),"Concentration, up to 1 Hour",319,Utility,_,Movement,_,S,No,No,No,No,No,Yes,Yes,Yes
Spike Growth,enchantment,"The ground in a 20-foot-radius Sphere centered on a point within range sprouts hard spikes and thorns. The area becomes Dicult
Terrain for the duration. When a creature moves into or within the area, it takes 2d4 Piercing damage for every 5 feet it travels.
The transformation of the ground is camouaged to look natural. Any creature that can’t see the area when the spell is cast must
take a Search action and succeed on a Wisdom (Perception or Survival) check against your spell save DC to recognize the terrain
as hazardous before entering it.
",No,Level 2,Action,,"V, S, M",(seven thorns),"Concentration, up to 10 Minutes",319,Damage,_,Difficult Terrain,Piercing,S,No,No,Yes,No,Yes,No,No,No
Spirit Guardian,illusion,"Protective spirits it around you in a 15-foot Emanation for the duration. If you are good or neutral, their spectral form appears
angelic or fey (your choice). If you are evil, they appear endish.
When you cast this spell, you can designate creatures to be unaffected by it. Any other creature’s Speed is halved in the Emanation, and whenever the Emanation enters a creature’s space and whenever a creature enters the Emanation or ends its turn there, the creature must make a Wisdom saving throw. On a failed save, the creature takes 3d8 Radiant damage (if you are good or neutral) or 3d8 Necrotic damage (if you are evil). On a successful save, the creature takes half as much damage. A creature makes this save only once per turn.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3.
",No,Level 3,Action,,"V, S, M",(a prayer scroll),"Concentration, up to 10 Minutes",319,Damage,Wisdom Save,_,Choice,S,No,Yes,No,No,No,No,No,No
Spiritual Weapon,conjuration,"Protective spirits it around you in a 15-foot Emanation for the duration. If you are good or neutral, their spectral form appears
angelic or fey (your choice). If you are evil, they appear endish.
When you cast this spell, you can designate creatures to be unaffected by it. Any other creature’s Speed is halved in the Emanation,
and whenever the Emanation enters a creature’s space and whenever a creature enters the Emanation or ends its turn there, the
creature must make a Wisdom saving throw. On a failed save, the creature takes 3d8 Radiant damage (if you are good or neutral)
or 3d8 Necrotic damage (if you are evil). On a successful save, the creature takes half as much damage. A creature makes this
save only once per turn.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3",No,Level 2,Bonus Action,,"V, S",,"Concentration, up to 1 minute",319,Damage,Attack Roll,_,Force,S,No,Yes,No,No,No,No,No,No
Staggering Smite,evocation,"The target takes an extra 4d6 Psychic damage from the attack, and the target must succeed on a Wisdom saving throw or have
the Stunned condition until the end of your next turn.
Using a Higher-Level Spell Slot. The extra damage increases by 1d6 for each spell slot level above 4",No,Level 4,Bonus Action,which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike,V,,Instantaneous,320,Damage,Wisdom Save,Stunned,Psychic,S,No,No,No,Yes,No,No,No,No
Starry Wisp,abjuration,"You launch a mote of light at one creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d8 Radiant damage, and until the end of your next turn, it emits Dim Light in a 10-foot radius and can’t benet from the Invisible condition.
Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8).
",No,Cantrip,Action ,,"V, S",,Instantaneous,320,Damage,Attack Roll,_,Radiant,S,Yes,No,Yes,No,No,No,No,No
Steel Wind Strike,enchantment,"You flourish the weapon used in the casting and then vanish to strike like the wind. Choose up to ve creatures you can see within range. Make a melee spell attack against each target. On a hit, a target takes 6d10 Force damage.
You then teleport to an unoccupied space you can see within 5 feet of one of the targets.",No,Level 5,Action,,"S, M* ",(a Melee weapon worth 1+ SP),Instantaneous,320,Damage,Attack Roll,_,Force,S,No,No,No,No,Yes,No,No,Yes
Stinking Cloud,transmutation,"You create a 20-foot-radius Sphere of yellow, nauseating gas centered on a point within range. The cloud is Heavily Obscured. The
cloud lingers in the air for the duration or until a strong wind (such as the one created by Gust of Wind) disperses it.
Each creature that starts its turn in the Sphere must succeed on a Constitution saving throw or have the Poisoned condition until
the end of the current turn. While Poisoned in this way, the creature can’t take an action or a Bonus Action.",No,Level 3,Action,,"V, S, M",(a rotten egg),"Concentration, up to 1 Minute",321,Damage,Constitution Save ,Poisoned,_,S,Yes,No,No,No,No,Yes,No,Yes
Stone Shape,enchantment,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any
shape you like. For example, you could shape a large rock into a weapon, statue, or coffer, or you could make a small passage
through a wall that is 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can
have up to two hinges and a latch, but ner mechanical detail isn’t possible.",No,Level 4,Action,,"V, S, M",(soft clay),Instantaneous,321,Utility,_,_,_,S,No,Yes,Yes,No,No,No,No,Yes
Stoneskin,evocation,"Until the spell ends, one willing creature you touch has Resistance to Bludgeoning, Piercing, and Slashing damage.",No,Level 4,Action,,"V, S, M*","(diamond dust worth 100+ GP, which the spell consumes)","Concentration, up to 1 Hour",321,Protection,_,_,_,S,No,No,Yes,No,Yes,Yes,No,Yes
Storm Of Vengance,evocation,"A churning storm cloud forms for the duration, centered on a point within range and spreading to a radius of 300 feet. Each
creature under the cloud when it appears must succeed on a Constitution saving throw or take 2d6 Thunder damage and have the Deafened condition for the duration.
At the start of each of your later turns, the storm produces different effects, as detailed below.
Turn 2. Acidic rain falls. Each creature and object under the cloud takes 4d6 Acid damage.
Turn 3. You call six bolts of lightning from the cloud to strike six different creatures or objects beneath it. Each target makes a
Dexterity saving throw, taking 10d6 Lightning damage on a failed save or half as much damage on a successful one.
Turn 4. Hailstones rain down. Each creature under the cloud takes 2d6 Bludgeoning damage.
Turns 5–10. Gusts and freezing rain assail the area under the cloud. Each creature there takes 1d6 Cold damage. Until the spell
ends, the area is Dicult Terrain and Heavily Obscured, ranged attacks with weapons are impossible there, and strong wind blows
through the area.
",No,Level 9,Action,,"V, S",,"Concentration, up to 1 Minute",321,Damage,Mixed,_,Mixed,S,No,No,Yes,No,No,No,No,No
Suggestion,enchantment,"You suggest a course of activity—described in no more than 25 words—to one creature you can see within range that can hear and
understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to the target
or its allies. For example, you could say, “Fetch the key to the cult’s treasure vault, and give the key to me.” Or you could say, “Stop
ghting, leave this library peacefully, and don’t return.”
The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal
damage to the target. The Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for
the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for the target upon completing
it.
",No,Level 2,Action,,"V, M*",(a drop of honey),"Concentration, up to 8 Hours",321,Charm,Wisdom Save,_,_,S,Yes,No,No,No,No,Yes,Yes,Yes
Summon Aberration,illusion,"You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range and uses the Aberrant Spirit
stat block. When you cast the spell, choose Beholderkin, Mind Flayer, or Slaad. The creature resembles an Aberration of that kind,
which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, it shares your Initiative count, but it takes its turn immediately after yours.
It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement
to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.321 in the Players Handbook 2024 for the stat block.",No,Level 4,Action,,"V, S, M*",(a pickled tentacle and an eyeball in a platinum-inlaid vial worth 400+ GP),"Concentration, up to 1 Hour",322,Minion/Summon,_,_,_,S,No,No,No,No,No,No,Yes,Yes
Summon Beast,transmutation,"You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range and uses the Bestial Spirit stat
block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that
is native to the chosen environment, which determines certain details in its stat block. 

The creature disappears when it drops to 0
Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses
its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.323 in the Players Handbook 2024 for the stat block.
",No,Level 2,Action,,"V, S, M*","(a feather, tuft of fur, and sh tail inside a gilded acorn worth 200+ GP)","Concentration, up to 1 Hour",322,Minion/Summon,_,_,_,S,No,No,Yes,No,Yes,No,No,No
Summon Celestial ,illusion,"You call forth a Celestial spirit. It manifests in an angelic form in an unoccupied space that you can see within range and uses the Celestial Spirit stat block. When you cast the spell, choose Avenger or Defender. Your choice determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.323 in the Players Handbook 2024 for the stat block.",No,Level 5,Action,,"V, S, M*",(a reliquary worth 500+ GP),"Concentration, up to 1 Hour",323,Minion/Summon,_,_,_,S,No,Yes,No,Yes,No,No,No,No
Summon Construct,necromancy,"You call forth the spirit of a Construct. It manifests in an unoccupied space that you can see within range and uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone. The creature resembles an animate statue (you determine the appearance) made of the chosen material, which determines certain details in its stat block. The creature
disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.324 in the Players Handbook 2024 for the stat block.",No,Level 4,Action,,"V, S, M*",(a lockbox worth 400+ GP),"Concentration, up to 1 Hour",324,Minion/Summon,_,_,_,S,No,No,No,No,No,No,No,Yes
Summon Dragon,conjuration,"You call forth a Dragon spirit. It manifests in an unoccupied space that you can see within range and uses the Draconic Spirit stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

See page.325 in the Players Handbook 2024 for the stat block.",No,Level 5,Action,,"V, S, M*",(an object with the image of a dragon engraved on it worth 500+ GP),"Concentration, up to 1 Hour",324,Minion/Summon,_,_,_,S,No,No,No,No,No,No,No,Yes
Summon Elemental ,enchantment,"You call forth an Elemental spirit. It manifests in an unoccupied space that you can see within range and uses the Elemental Spirit
stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed
in the chosen element, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or
when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately
after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses
its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block

See page.325 in the Players Handbook 2024 for the stat block.",No,Level 4,Action,,"V, S, M*"," (air, a pebble, ash, and water inside a gold-inlaid vial worth 400+ GP)","Concentration, up to 1 Hour",325,Minion/Summon,_,_,_,S,No,No,Yes,No,Yes,No,No,Yes
Summon Fey ,divination,"You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block.
When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice
marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit
Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately
after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses
its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block

See page.326 in the Players Handbook 2024 for the stat block.",No,Level 3,Action,,"V, S, M*", (a gilded ower worth 300+ GP),"Concentration, up to 1 Hour",325,Minion/Summon,_,_,_,S,No,No,Yes,No,Yes,No,Yes,Yes
